CBuffExpireLuckyStone2::ApplyBuff                         0x004096E0 0000003C R... B..
CBuffExpireLuckyStone2::CBuffExpireLuckyStone2            0x00406590 00000037 R... B..
CBuffExpire::ApplyBuff                                    0x00409570 00000064 R... B..
CBuffExpire::CBuffExpire                                  0x004064F0 00000054 R... B..
CBuffExpire::FreeBuff                                     0x004097E0 0000004F R... B..
CBuffExpire::IsExpired                                    0x004095E0 00000021 R... B..
CBuffExpire::SetBuff                                      0x004094F0 0000007A R... B..
CBuffFatalChance::ApplyBuff                               0x00406E40 00000055 R... B..
CBuffFatalChance::CBuffFatalChance                        0x00405D70 00000038 R... B..
CBuffFatalChance::FreeBuff                                0x00406EA0 00000050 R... B..
CBuffFlagHP::ApplyBuff                                    0x00408800 00000024 R... B..
CBuffFlagHP::CBuffFlagHP                                  0x00406330 0000002F R... B..
CBuffFlagHP::FreeBuff                                     0x00408830 0000001F R... B..
CBuffFlagHP::UpdateBuff                                   0x00408850 00000054 R... B..
CBuffFlagPrty::ApplyBuff                                  0x00408660 000000C6 R... B..
CBuffFlagPrty::CBuffFlagPrty                              0x004062D0 0000005B R... B..
CBuffFlagPrty::FreeBuff                                   0x00408730 000000C1 R... B..
CBuffHP::ApplyBuff                                        0x00407B00 00000059 R... B..
CBuffHP::CBuffHP                                          0x00405F30 0000002F R... B..
CBuffHP::FreeBuff                                         0x00407B60 0000001F R... B..
CBuffHP::IsExpired                                        0x004088B0 00000033 R... B..
CBuffHaste::ApplyBuff                                     0x00407A40 00000079 R... B..
CBuffHaste::CBuffHaste                                    0x00405F00 0000002F R... B..
CBuffHaste::FreeBuff                                      0x00407AC0 00000039 R... B..
CBuffHydrochloricAcid::ApplyBuff                          0x0040A330 00000033 R... B..
CBuffHydrochloricAcid::CBuffHydrochloricAcid              0x004068B0 00000043 R... B..
CBuffHydrochloricAcid::FreeBuff                           0x0040A370 0000001D R... B..
CBuffHydrochloricAcid::IsExpired                          0x0040A390 00000105 R... B..
CBuffInchantWeapon::ApplyBuff                             0x00408310 00000063 R... B..
CBuffInchantWeapon::CBuffInchantWeapon                    0x00406260 0000002F R... B..
CBuffInchantWeapon::FreeBuff                              0x00408380 0000005E R... B..
CBuffMP::ApplyBuff                                        0x00407B80 00000059 R... B..
CBuffMP::CBuffMP                                          0x00405F60 0000002F R... B..
CBuffMP::FreeBuff                                         0x00407BE0 0000001F R... B..
CBuffMP::IsExpired                                        0x00407C00 00000033 R... B..
CBuffManaBurn::ApplyBuff                                  0x00408BB0 00000024 R... B..
CBuffManaBurn::CBuffManaBurn                              0x004063E0 00000039 R... B..
CBuffManaBurn::FreeBuff                                   0x00408BE0 0000001F R... B..
CBuffManaBurn::IsExpired                                  0x00408D30 0000006B R... B..
CBuffManaBurn::UpdateBuff                                 0x00408C00 00000126 R... B..
CBuffMeditation::ApplyBuff                                0x00406CE0 00000021 R... B..
CBuffMeditation::CBuffMeditation                          0x00405D30 00000040 R... B..
CBuffMeditation::FreeBuff                                 0x00406D10 0000001C R... B..
CBuffMeditation::IsExpired                                0x00406D30 000000D8 R... B..
CBuffMixDamage::ApplyBuff                                 0x0040A4A0 00000044 R... B..
CBuffMixDamage::CBuffMixDamage                            0x00406900 00000068 R... B..
CBuffMixDamage::IsExpired                                 0x0040A4F0 0000012B R... B..
CBuffMoveSpeed::ApplyBuff                                 0x004069C0 0000003B R... B..
CBuffMoveSpeed::CBuffMoveSpeed                            0x00405C60 00000039 R... B..
CBuffMoveSpeed::FreeBuff                                  0x00406A00 00000040 R... B..
CBuffMoveSpeed::IsExpired                                 0x00406BD0 0000004E R... B..
CBuffMoveSpeed::UpdateBuff                                0x00406A40 00000152 R... B..
CBuffMoveStop::ApplyBuff                                  0x00407260 0000004A R... B..
CBuffMoveStop::CBuffMoveStop                              0x00405E20 00000039 R... B..
CBuffMoveStop::FreeBuff                                   0x004072B0 00000045 R... B..
CBuffMoveStop::IsExpired                                  0x00407440 00000051 R... B..
CBuffMoveStop::UpdateBuff                                 0x00407300 00000140 R... B..
CBuffPoisonCloud::ApplyBuff                               0x00407780 00000024 R... B..
CBuffPoisonCloud::CBuffPoisonCloud                        0x00405EB0 0000004A R... B..
CBuffPoisonCloud::FreeBuff                                0x004077B0 0000001F R... B..
CBuffPoisonCloud::IsExpired                               0x00407900 00000136 R... B..
CBuffPoisonCloud::UpdateBuff                              0x004077D0 00000126 R... B..
CBuffPoison::ApplyBuff                                    0x004074A0 00000024 R... B..
CBuffPoison::CBuffPoison                                  0x00405E60 0000004A R... B..
CBuffPoison::FreeBuff                                     0x004074D0 0000001F R... B..
CBuffPoison::IsExpired                                    0x00407620 00000136 R... B..
CBuffPoison::UpdateBuff                                   0x004074F0 00000126 R... B..
CBuffPrtyEx::ApplyBuff                                    0x00409160 000000C2 R... B..
CBuffPrtyEx::CBuffPrtyEx                                  0x00406490 0000005F R... B..
CBuffPrtyEx::FreeBuff                                     0x00409230 000000D4 R... B..
CBuffPrtyEx::IsExpired                                    0x00409480 00000061 R... B..
CBuffPrtyEx::UpdateBuff                                   0x00409330 00000149 R... B..
CBuffPrty::ApplyBuff                                      0x00408DA0 000000C6 R... B..
CBuffPrty::CBuffPrty                                      0x00406420 00000065 R... B..
CBuffPrty::FreeBuff                                       0x00408E70 000000E8 R... B..
CBuffPrty::IsExpired                                      0x004090E0 00000071 R... B..
CBuffPrty::UpdateBuff                                     0x00408F60 00000155 R... B..
CBuffRemainCount::CBuffRemainCount                        0x004067B0 00000037 R... B..
CBuffRemainCount::UpdateBuff                              0x00409C80 000000FC R... B..
CBuffRemainDeadEx::CBuffRemainDeadEx                      0x004066F0 00000036 R... B..
CBuffRemainDeadEx::SetBuff                                0x00409AC0 00000021 R... B..
CBuffRemainDead::ApplyBuff                                0x00409A40 0000003B R... B..
CBuffRemainDead::CBuffRemainDead                          0x004066A0 0000004E R... B..
CBuffRemainDead::FreeBuff                                 0x00409A80 00000036 R... B..
CBuffRemainDead::SetBuff                                  0x004099E0 00000056 R... B..
CBuffRemainEx::ApplyBuff                                  0x00409940 0000004D R... B..
CBuffRemainEx::CBuffRemainEx                              0x00406630 0000004E R... B..
CBuffRemainEx::FreeBuff                                   0x00409990 00000048 R... B..
CBuffRemainEx::SetBuff                                    0x004098E0 00000021 R... B..
CBuffRemainLuckyStone1::ApplyBuff                         0x00409D80 0000003C R... B..
CBuffRemainLuckyStone1::CBuffRemainLuckyStone1            0x004067F0 00000037 R... B..
CBuffRemainPet::ApplyBuff                                 0x00409DC0 000000C4 R... B..
CBuffRemainPet::CBuffRemainPet                            0x00406830 00000051 R... B..
CBuffRemainPet::FreeBuff                                  0x00409E90 00000191 R... B..
CBuffRemainPet::IsExpired                                 0x0040A040 000002CE R... B..
CBuffRemainPet::SetBuff                                   0x00406890 00000012 R... B..
CBuffRemainPrty::ApplyBuff                                0x00409BF0 00000045 R... B..
CBuffRemainPrty::CBuffRemainPrty                          0x00406770 00000040 R... B..
CBuffRemainPrty::SetBuff                                  0x00409BA0 00000045 R... B..
CBuffRemainXBlow::ApplyBuff                               0x00409B20 00000071 R... B..
CBuffRemainXBlow::CBuffRemainXBlow                        0x00406730 00000037 R... B..
CBuffRemain::ApplyBuff                                    0x00409780 00000058 R... B..
CBuffRemain::CBuffRemain                                  0x00406680 0000001F R... B..
CBuffRemain::IsExpired                                    0x00409830 0000006A R... B..
CBuffRemain::SaveRemain                                   0x004098A0 00000036 R... B..
CBuffRemain::SetBuff                                      0x00409750 0000002F R... B..
CBuffRevivalSequela::ApplyBuff                            0x00406EF0 00000063 R... B..
CBuffRevivalSequela::CBuffRevivalSequela                  0x00405DB0 0000002F R... B..
CBuffRevivalSequela::FreeBuff                             0x00406F60 0000005E R... B..
CBuffRevivalSequela::UpdateBuff                           0x00406FC0 00000048 R... B..
CBuffSilenceShot::ApplyBuff                               0x004089C0 00000024 R... B..
CBuffSilenceShot::CBuffSilenceShot                        0x004063A0 00000039 R... B..
CBuffSilenceShot::FreeBuff                                0x004089F0 0000001F R... B..
CBuffSilenceShot::IsExpired                               0x00408B40 0000006B R... B..
CBuffSilenceShot::UpdateBuff                              0x00408A10 00000126 R... B..
CBuffSleep::ApplyBuff                                     0x00407C40 0000004A R... B..
CBuffSleep::CBuffSleep                                    0x00405F90 00000039 R... B..
CBuffSleep::FreeBuff                                      0x00407C90 00000045 R... B..
CBuffSleep::IsExpired                                     0x00407E20 00000051 R... B..
CBuffSleep::UpdateBuff                                    0x00407CE0 00000140 R... B..
CBuffSpiritDmg::ApplyBuff                                 0x004083E0 00000021 R... B..
CBuffSpiritDmg::CBuffSpiritDmg                            0x00406290 00000039 R... B..
CBuffSpiritDmg::FreeBuff                                  0x00408410 0000001C R... B..
CBuffSpiritDmg::IsExpired                                 0x00408550 0000010C R... B..
CBuffSpiritDmg::UpdateBuff                                0x00408430 00000120 R... B..
CBuffStone::ApplyBuff                                     0x00406C20 0000005C R... B..
CBuffStone::CBuffStone                                    0x00405CF0 00000038 R... B..
CBuffStone::FreeBuff                                      0x00406C80 00000057 R... B..
CBuffStun::ApplyBuff                                      0x00407010 00000061 R... B..
CBuffStun::CBuffStun                                      0x00405DE0 00000039 R... B..
CBuffStun::FreeBuff                                       0x00407080 0000001F R... B..
CBuffStun::IsExpired                                      0x00407200 00000051 R... B..
CBuffStun::UpdateBuff                                     0x004070A0 00000155 R... B..
CBuffSuffering::ApplyBuff                                 0x00408080 00000024 R... B..
CBuffSuffering::CBuffSuffering                            0x00406220 00000039 R... B..
CBuffSuffering::FreeBuff                                  0x004080B0 0000001F R... B..
CBuffSuffering::IsExpired                                 0x00408200 0000010F R... B..
CBuffSuffering::UpdateBuff                                0x004080D0 00000126 R... B..
CBuff::CBuff                                              0x00405CA0 0000004D R... B..
CBuff::CreateBuff                                         0x00402610 0000346F R... B..
CBuff::IsExpired                                          0x00406990 00000022 R... B..
